Country_Code,Country_Name,Year,Value
DJI,Djibouti,1960,44.038000000000004
DMA,Dominica,1960,
DNK,Denmark,1960,72.1765853658537
DOM,Dominican Republic,1960,51.602
DZA,Algeria,1960,46.141000000000005
EAP,East Asia & Pacific (excluding high income),1960,45.61324200316529
EAR,Early-demographic dividend,1960,45.091032953213606
EAS,East Asia & Pacific,1960,48.4158990605597
ECA,Europe & Central Asia (excluding high income),1960,63.3489097079799
ECS,Europe & Central Asia,1960,67.0227243359337
ECU,Ecuador,1960,52.982
EGY,"Egypt, Arab Rep.",1960,48.042
EMU,Euro area,1960,69.2905809133318
ERI,Eritrea,1960,38.419000000000004
ESP,Spain,1960,69.1092682926829
EST,Estonia,1960,67.9029024390244
ETH,Ethiopia,1960,38.419000000000004
EUU,European Union,1960,69.2904752322248
FCS,Fragile and conflict affected situations,1960,40.795489231740106
FIN,Finland,1960,68.819756097561
FJI,Fiji,1960,60.81100000000001
FRA,France,1960,69.86829268292679
FRO,Faroe Islands,1960,
FSM,"Micronesia, Fed. Sts.",1960,54.513000000000005
GAB,Gabon,1960,39.694
GBR,United Kingdom,1960,71.12682926829271
GEO,Georgia,1960,63.651
GHA,Ghana,1960,45.843
GIN,Guinea,1960,34.89
GMB,"Gambia, The",1960,32.054
GNB,Guinea-Bissau,1960,37.478
GNQ,Equatorial Guinea,1960,36.535
GRC,Greece,1960,68.1639024390244
GRD,Grenada,1960,62.231
GRL,Greenland,1960,
GTM,Guatemala,1960,46.702
GUM,Guam,1960,60.97
GUY,Guyana,1960,60.26
HIC,High income,1960,68.5421717304457
HKG,"Hong Kong SAR, China",1960,66.9616829268293
HND,Honduras,1960,46.273999999999994
HPC,Heavily indebted poor countries (HIPC),1960,39.779657668246706
HRV,Croatia,1960,64.6086585365854
HTI,Haiti,1960,41.762
HUN,Hungary,1960,68.0031707317073
IBD,IBRD only,1960,48.661984003591996
IBT,IDA & IBRD total,1960,47.53347212227101
IDA,IDA total,1960,41.8919818073994
IDB,IDA blend,1960,43.6757123354638
IDN,Indonesia,1960,46.663999999999994
IDX,IDA only,1960,41.036659584792794
IMN,Isle of Man,1960,
IND,India,1960,41.422
IRL,Ireland,1960,69.796512195122
IRN,"Iran, Islamic Rep.",1960,44.946999999999996
IRQ,Iraq,1960,48.022
ISL,Iceland,1960,73.4231707317073
ISR,Israel,1960,
ITA,Italy,1960,69.1239024390244
JAM,Jamaica,1960,64.77
JOR,Jordan,1960,52.651
JPN,Japan,1960,67.6660975609756
KAZ,Kazakhstan,1960,58.3675853658537
KEN,Kenya,1960,46.76
KGZ,Kyrgyz Republic,1960,56.1280731707317
KHM,Cambodia,1960,41.242
KIR,Kiribati,1960,47.06100000000001
KNA,St. Kitts and Nevis,1960,
KOR,"Korea, Rep.",1960,55.4155365853659
KWT,Kuwait,1960,59.343
LAC,Latin America & Caribbean (excluding high income),1960,55.664917482706
LAO,Lao PDR,1960,43.20399999999999
LBN,Lebanon,1960,63.266999999999996
LBR,Liberia,1960,34.264
LBY,Libya,1960,42.608999999999995
LCA,St. Lucia,1960,56.739
LCN,Latin America & Caribbean,1960,56.074172263250105
LDC,Least developed countries: UN classification,1960,40.3074848432961
LIC,Low income,1960,39.2665189754137
LIE,Liechtenstein,1960,
LKA,Sri Lanka,1960,59.369
LMC,Lower middle income,1960,45.2760796025686
LMY,Low & middle income,1960,47.238918629828504
LSO,Lesotho,1960,47.919
LTE,Late-demographic dividend,1960,50.2526853922476
LTU,Lithuania,1960,69.8473170731707
LUX,Luxembourg,1960,68.4463902439024
LVA,Latvia,1960,69.7868292682927
MAC,"Macao SAR, China",1960,64.828
MAF,St. Martin (French part),1960,
MAR,Morocco,1960,48.458
MDA,Moldova,1960,61.995
MDG,Madagascar,1960,39.961999999999996
MDV,Maldives,1960,37.343
MEA,Middle East & North Africa,1960,46.44164420887711
MEX,Mexico,1960,57.077
MHL,Marshall Islands,1960,
MIC,Middle income,1960,47.8401653876927
MKD,North Macedonia,1960,60.633
MLI,Mali,1960,28.199
MLT,Malta,1960,69.433243902439
MMR,Myanmar,1960,42.381
MNA,Middle East & North Africa (excluding high income),1960,46.363107566805496
MNE,Montenegro,1960,63.82
MNG,Mongolia,1960,48.391999999999996
MOZ,Mozambique,1960,39.439
MRT,Mauritania,1960,44.431999999999995
MUS,Mauritius,1960,58.7452195121951
MWI,Malawi,1960,36.672
MYS,Malaysia,1960,59.99100000000001
NAC,North America,1960,69.89360375709
NAM,Namibia,1960,46.483000000000004
NCL,New Caledonia,1960,58.639024390243904
NER,Niger,1960,35.053000000000004
NGA,Nigeria,1960,36.976
NIC,Nicaragua,1960,46.998000000000005
NLD,Netherlands,1960,73.3926829268293
NOR,Norway,1960,73.549756097561
NPL,Nepal,1960,35.583
NZL,New Zealand,1960,71.2365853658537
OED,OECD members,1960,67.43983442558539
OMN,Oman,1960,42.672
OSS,Other small states,1960,51.41500479643349
PAK,Pakistan,1960,45.299
PAN,Panama,1960,60.864
PER,Peru,1960,48.012
PHL,Philippines,1960,61.105
PLW,Palau,1960,
PNG,Papua New Guinea,1960,38.935
POL,Poland,1960,67.6804878048781
PRE,Pre-demographic dividend,1960,39.1361000183986
PRI,Puerto Rico,1960,68.7196097560976
PRK,"Korea, Dem. People’s Rep.",1960,51.297
PRT,Portugal,1960,63.2729024390244
PRY,Paraguay,1960,63.881
PSE,West Bank and Gaza,1960,
PSS,Pacific island small states,1960,56.5054971411929
PST,Post-demographic dividend,1960,68.81554468409739
PYF,French Polynesia,1960,56.282
QAT,Qatar,1960,61.093999999999994
ROU,Romania,1960,65.6424390243903
RUS,Russian Federation,1960,66.0552926829268
RWA,Rwanda,1960,42.61600000000001
SAS,South Asia,1960,42.120208188067004
SAU,Saudi Arabia,1960,45.638000000000005
SDN,Sudan,1960,48.193999999999996
SEN,Senegal,1960,38.223
SGP,Singapore,1960,65.6598292682927
SLB,Solomon Islands,1960,48.123000000000005
SLE,Sierra Leone,1960,31.566
SLV,El Salvador,1960,49.95
SMR,San Marino,1960,
SOM,Somalia,1960,36.976
SRB,Serbia,1960,
SSA,Sub-Saharan Africa (excluding high income),1960,40.377897917980796
SSD,South Sudan,1960,31.697
SSF,Sub-Saharan Africa,1960,40.377897917980796
SST,Small states,1960,55.019877066538804
STP,Sao Tome and Principe,1960,50.378
SUR,Suriname,1960,59.681999999999995
SVK,Slovak Republic,1960,69.92365853658539
SVN,Slovenia,1960,68.9780487804878
SWE,Sweden,1960,73.0056097560976
SWZ,Eswatini,1960,43.571999999999996
SXM,Sint Maarten (Dutch part),1960,
SYC,Seychelles,1960,
SYR,Syrian Arab Republic,1960,51.971000000000004
TCD,Chad,1960,38.02
TEA,East Asia & Pacific (IDA & IBRD countries),1960,45.5397402930785
TEC,Europe & Central Asia (IDA & IBRD countries),1960,63.7921934614609
TGO,Togo,1960,40.297
THA,Thailand,1960,54.701
TJK,Tajikistan,1960,50.613
TKM,Turkmenistan,1960,54.471000000000004
TLA,Latin America & the Caribbean (IDA & IBRD countries),1960,55.6499325632765
TLS,Timor-Leste,1960,33.729
TMN,Middle East & North Africa (IDA & IBRD countries),1960,46.363107566805496
TON,Tonga,1960,59.885
TSA,South Asia (IDA & IBRD),1960,42.120208188067004
TSS,Sub-Saharan Africa (IDA & IBRD countries),1960,40.377897917980796
TTO,Trinidad and Tobago,1960,62.222
TUN,Tunisia,1960,42.021
TUR,Turkey,1960,45.369
TZA,Tanzania,1960,43.6
UGA,Uganda,1960,44.358999999999995
UKR,Ukraine,1960,68.2995365853659
UMC,Upper middle income,1960,49.863053519068394
URY,Uruguay,1960,67.783
USA,United States,1960,69.77073170731711
UZB,Uzbekistan,1960,58.835
VCT,St. Vincent and the Grenadines,1960,59.26
VEN,"Venezuela, RB",1960,59.831
VIR,Virgin Islands (U.S.),1960,66.2248536585366
VNM,Vietnam,1960,59.038999999999994
VUT,Vanuatu,1960,48.975
WLD,World,1960,52.5797665560172
WSM,Samoa,1960,56.902
XKX,Kosovo,1960,
YEM,"Yemen, Rep.",1960,29.919
ZAF,South Africa,1960,48.406000000000006
ZMB,Zambia,1960,46.687
ZWE,Zimbabwe,1960,53.019
ABW,Aruba,1961,66.074
AFG,Afghanistan,1961,32.961999999999996
AGO,Angola,1961,37.811
ALB,Albania,1961,63.301
ARB,Arab World,1961,47.1416208779016
ARE,United Arab Emirates,1961,52.56
ARG,Argentina,1961,65.176
ARM,Armenia,1961,66.403
ATG,Antigua and Barbuda,1961,62.523
AUS,Australia,1961,70.9731707317073
AUT,Austria,1961,69.5773170731707
AZE,Azerbaijan,1961,61.256
BDI,Burundi,1961,41.592
BEL,Belgium,1961,70.52097560975609
BEN,Benin,1961,37.727
BFA,Burkina Faso,1961,34.897
BGD,Bangladesh,1961,45.97
BGR,Bulgaria,1961,70.1956097560976
BHR,Bahrain,1961,53.235
BHS,"Bahamas, The",1961,64.885
BIH,Bosnia and Herzegovina,1961,61.019
BLR,Belarus,1961,68.2126585365854
BLZ,Belize,1961,60.531000000000006
BMU,Bermuda,1961,
BOL,Bolivia,1961,42.15
BRA,Brazil,1961,54.63399999999999
BRB,Barbados,1961,65.19800000000001
BRN,Brunei Darussalam,1961,55.81
BTN,Bhutan,1961,34.889
BWA,Botswana,1961,49.684
CAF,Central African Republic,1961,36.715
CAN,Canada,1961,71.3460975609756
CEB,Central Europe and the Baltics,1961,68.2621983438663
CHE,Switzerland,1961,71.6448780487805
CHI,Channel Islands,1961,70.833
CHL,Chile,1961,57.61600000000001
CHN,China,1961,44.051
CIV,Cote d'Ivoire,1961,36.948
CMR,Cameroon,1961,42.255
COD,"Congo, Dem. Rep.",1961,41.312
COG,"Congo, Rep.",1961,46.338
COL,Colombia,1961,57.813
COM,Comoros,1961,41.846000000000004
CPV,Cabo Verde,1961,48.66
CRI,Costa Rica,1961,61.018
CSS,Caribbean small states,1961,63.1261308456172
CUB,Cuba,1961,64.446
CUW,Curacao,1961,
CYM,Cayman Islands,1961,
CYP,Cyprus,1961,69.949
CZE,Czech Republic,1961,70.5126829268293
DEU,Germany,1961,69.508
DJI,Djibouti,1961,44.468999999999994
DMA,Dominica,1961,
DNK,Denmark,1961,72.4382926829268
DOM,Dominican Republic,1961,52.306000000000004
DZA,Algeria,1961,46.599
EAP,East Asia & Pacific (excluding high income),1961,46.0582560175745
EAR,Early-demographic dividend,1961,45.7494826066753
EAS,East Asia & Pacific,1961,48.9441675025035
ECA,Europe & Central Asia (excluding high income),1961,63.8673293609614
ECS,Europe & Central Asia,1961,67.3847849666612
ECU,Ecuador,1961,53.547
EGY,"Egypt, Arab Rep.",1961,48.608999999999995
EMU,Euro area,1961,69.660271105489
ERI,Eritrea,1961,39.075
ESP,Spain,1961,69.4804878048781
EST,Estonia,1961,68.3608048780488
ETH,Ethiopia,1961,39.082
EUU,European Union,1961,69.5997034282156
FCS,Fragile and conflict affected situations,1961,41.32022607102179
FIN,Finland,1961,68.8441463414634
FJI,Fiji,1961,61.172
FRA,France,1961,70.1170731707317
FRO,Faroe Islands,1961,
FSM,"Micronesia, Fed. Sts.",1961,54.95399999999999
GAB,Gabon,1961,40.082
GBR,United Kingdom,1961,70.87804878048779
GEO,Georgia,1961,64.058
GHA,Ghana,1961,46.278999999999996
GIN,Guinea,1961,35.086
GMB,"Gambia, The",1961,32.336
GNB,Guinea-Bissau,1961,37.751999999999995
GNQ,Equatorial Guinea,1961,36.872
GRC,Greece,1961,68.5486341463415
GRD,Grenada,1961,62.657
GRL,Greenland,1961,
GTM,Guatemala,1961,47.218999999999994
GUM,Guam,1961,61.481
GUY,Guyana,1961,60.441
HIC,High income,1961,68.92351109017821
HKG,"Hong Kong SAR, China",1961,67.548756097561
HND,Honduras,1961,46.953
HPC,Heavily indebted poor countries (HIPC),1961,40.2214025495148
HRV,Croatia,1961,65.015512195122
HTI,Haiti,1961,42.181999999999995
HUN,Hungary,1961,68.9360975609756
IBD,IBRD only,1961,49.181788525936796
IBT,IDA & IBRD total,1961,48.0434170744355
IDA,IDA total,1961,42.427438060482295
IDB,IDA blend,1961,44.329921228538296
IDN,Indonesia,1961,47.276
IDX,IDA only,1961,41.515556384998895
IMN,Isle of Man,1961,
IND,India,1961,42.027
IRL,Ireland,1961,69.9782682926829
IRN,"Iran, Islamic Rep.",1961,45.512
IRQ,Iraq,1961,49.222
ISL,Iceland,1961,73.50341463414641
ISR,Israel,1961,72.0065853658537
ITA,Italy,1961,69.760243902439
JAM,Jamaica,1961,65.133
JOR,Jordan,1961,53.438
JPN,Japan,1961,68.31
KAZ,Kazakhstan,1961,58.7815853658537
KEN,Kenya,1961,47.417
KGZ,Kyrgyz Republic,1961,56.564121951219505
KHM,Cambodia,1961,41.36600000000001
KIR,Kiribati,1961,47.556999999999995
KNA,St. Kitts and Nevis,1961,
KOR,"Korea, Rep.",1961,56.0149756097561
KWT,Kuwait,1961,60.099
LAC,Latin America & Caribbean (excluding high income),1961,56.1495367228611
LAO,Lao PDR,1961,43.511
LBN,Lebanon,1961,63.575
LBR,Liberia,1961,34.56
LBY,Libya,1961,44.211000000000006
LCA,St. Lucia,1961,57.589
LCN,Latin America & Caribbean,1961,56.545841521217696
LDC,Least developed countries: UN classification,1961,40.769986034108
LIC,Low income,1961,39.6894012410894
LIE,Liechtenstein,1961,
LKA,Sri Lanka,1961,59.769
LMC,Lower middle income,1961,45.867720993498295
LMY,Low & middle income,1961,47.7557144849216
LSO,Lesotho,1961,48.162
LTE,Late-demographic dividend,1961,50.7528372000264
LTU,Lithuania,1961,70.1026829268293
LUX,Luxembourg,1961,68.73773170731711
LVA,Latvia,1961,70.0324390243903
MAC,"Macao SAR, China",1961,65.301
MAF,St. Martin (French part),1961,
MAR,Morocco,1961,48.88
MDA,Moldova,1961,62.367
MDG,Madagascar,1961,40.444
MDV,Maldives,1961,37.936
MEA,Middle East & North Africa,1961,47.547027194826406
MEX,Mexico,1961,57.668
MHL,Marshall Islands,1961,
MIC,Middle income,1961,48.3697479501902
MKD,North Macedonia,1961,61.25899999999999
MLI,Mali,1961,28.345
MLT,Malta,1961,69.61439024390239
MMR,Myanmar,1961,42.961000000000006
MNA,Middle East & North Africa (excluding high income),1961,46.963999936513396
MNE,Montenegro,1961,64.508
MNG,Mongolia,1961,49.303999999999995
MOZ,Mozambique,1961,39.879
MRT,Mauritania,1961,45.132
MUS,Mauritius,1961,59.748365853658505
MWI,Malawi,1961,36.934
MYS,Malaysia,1961,60.515
NAC,North America,1961,70.3680173824054
NAM,Namibia,1961,47.231
NCL,New Caledonia,1961,59.0390243902439
NER,Niger,1961,35.141
NGA,Nigeria,1961,37.431
NIC,Nicaragua,1961,47.636
NLD,Netherlands,1961,73.6526829268293
NOR,Norway,1961,73.55048780487809
NPL,Nepal,1961,35.941
NZL,New Zealand,1961,70.98536585365859
OED,OECD members,1961,67.8314066103613
OMN,Oman,1961,43.498999999999995
OSS,Other small states,1961,51.8677455999677
PAK,Pakistan,1961,46.196999999999996
PAN,Panama,1961,61.38
PER,Peru,1961,48.628
PHL,Philippines,1961,61.50899999999999
PLW,Palau,1961,
PNG,Papua New Guinea,1961,39.542
POL,Poland,1961,67.7780487804878
PRE,Pre-demographic dividend,1961,39.5933349985625
PRI,Puerto Rico,1961,68.9431707317073
PRK,"Korea, Dem. People’s Rep.",1961,51.674
PRT,Portugal,1961,63.68636585365851
PRY,Paraguay,1961,64.105
PSE,West Bank and Gaza,1961,
PSS,Pacific island small states,1961,56.959309944041394
PST,Post-demographic dividend,1961,69.21825714683699
PYF,French Polynesia,1961,56.708
QAT,Qatar,1961,61.851000000000006
ROU,Romania,1961,66.4158780487805
RUS,Russian Federation,1961,66.5970243902439
RWA,Rwanda,1961,42.941
SAS,South Asia,1961,42.7424786004499
SAU,Saudi Arabia,1961,46.145
SDN,Sudan,1961,48.618
SEN,Senegal,1961,38.38
SGP,Singapore,1961,66.0871951219512
SLB,Solomon Islands,1961,48.93899999999999
SLE,Sierra Leone,1961,31.925
SLV,El Salvador,1961,50.621
SMR,San Marino,1961,
SOM,Somalia,1961,37.374
SRB,Serbia,1961,
SSA,Sub-Saharan Africa (excluding high income),1961,40.8247097390708
SSD,South Sudan,1961,32.125
SSF,Sub-Saharan Africa,1961,40.8247097390708
SST,Small states,1961,55.455667298140796
STP,Sao Tome and Principe,1961,50.909
SUR,Suriname,1961,60.038000000000004
SVK,Slovak Republic,1961,70.2508536585366
SVN,Slovenia,1961,68.9780487804878
SWE,Sweden,1961,73.4743902439024
SWZ,Eswatini,1961,43.951
SXM,Sint Maarten (Dutch part),1961,
SYC,Seychelles,1961,
SYR,Syrian Arab Republic,1961,52.568000000000005
TCD,Chad,1961,38.279
TEA,East Asia & Pacific (IDA & IBRD countries),1961,45.984045544051
TEC,Europe & Central Asia (IDA & IBRD countries),1961,64.26596949266249
TGO,Togo,1961,40.941
THA,Thailand,1961,55.233000000000004
TJK,Tajikistan,1961,50.927
TKM,Turkmenistan,1961,54.897
TLA,Latin America & the Caribbean (IDA & IBRD countries),1961,56.1229052869644
TLS,Timor-Leste,1961,34.229
TMN,Middle East & North Africa (IDA & IBRD countries),1961,46.963999936513396
TON,Tonga,1961,60.281000000000006
TSA,South Asia (IDA & IBRD),1961,42.7424786004499
TSS,Sub-Saharan Africa (IDA & IBRD countries),1961,40.8247097390708
TTO,Trinidad and Tobago,1961,62.652
TUN,Tunisia,1961,42.656000000000006
TUR,Turkey,1961,46.093
TZA,Tanzania,1961,43.858999999999995
UGA,Uganda,1961,44.955
UKR,Ukraine,1961,68.7638536585366
UMC,Upper middle income,1961,50.3805199382592
URY,Uruguay,1961,68.007
USA,United States,1961,70.27073170731711
UZB,Uzbekistan,1961,59.21
VCT,St. Vincent and the Grenadines,1961,59.891000000000005
VEN,"Venezuela, RB",1961,60.376999999999995
VIR,Virgin Islands (U.S.),1961,66.48797560975609
VNM,Vietnam,1961,59.72
VUT,Vanuatu,1961,49.498000000000005
WLD,World,1961,53.0809343349998
WSM,Samoa,1961,57.188
XKX,Kosovo,1961,
YEM,"Yemen, Rep.",1961,30.163
ZAF,South Africa,1961,48.777
ZMB,Zambia,1961,47.083999999999996
ZWE,Zimbabwe,1961,53.483000000000004
ABW,Aruba,1962,66.444
AFG,Afghanistan,1962,33.471
AGO,Angola,1962,38.113
ALB,Albania,1962,64.19
ARB,Arab World,1962,47.731783324992
ARE,United Arab Emirates,1962,53.573
ARG,Argentina,1962,65.26899999999999
ARM,Armenia,1962,66.83800000000001
ATG,Antigua and Barbuda,1962,63.049
AUS,Australia,1962,70.9424390243903
AUT,Austria,1962,69.309512195122
AZE,Azerbaijan,1962,61.468999999999994
BDI,Burundi,1962,41.907
BEL,Belgium,1962,70.21951219512201
BEN,Benin,1962,38.188
BFA,Burkina Faso,1962,35.369
BGD,Bangladesh,1962,46.556999999999995
BGR,Bulgaria,1962,69.4919512195122
BHR,Bahrain,1962,54.59
BHS,"Bahamas, The",1962,65.01100000000001
BIH,Bosnia and Herzegovina,1962,61.646
BLR,Belarus,1962,68.63582926829271
BLZ,Belize,1962,61.092
BMU,Bermuda,1962,
BOL,Bolivia,1962,42.49
BRA,Brazil,1962,55.13
BRB,Barbados,1962,65.831
BRN,Brunei Darussalam,1962,56.805
BTN,Bhutan,1962,35.29
BWA,Botswana,1962,50.17100000000001
CAF,Central African Republic,1962,37.19
CAN,Canada,1962,71.3670731707317
CEB,Central Europe and the Baltics,1962,68.0069256418108
CHE,Switzerland,1962,71.19609756097559
CHI,Channel Islands,1962,70.928
CHL,Chile,1962,58.031000000000006
CHN,China,1962,44.783
CIV,Cote d'Ivoire,1962,37.78
CMR,Cameroon,1962,42.721000000000004
COD,"Congo, Dem. Rep.",1962,41.528999999999996
COG,"Congo, Rep.",1962,46.928000000000004
COL,Colombia,1962,58.32899999999999
COM,Comoros,1962,42.245
CPV,Cabo Verde,1962,48.943999999999996
CRI,Costa Rica,1962,61.638000000000005
CSS,Caribbean small states,1962,63.476465945226295
CUB,Cuba,1962,65.066
CUW,Curacao,1962,
CYM,Cayman Islands,1962,
CYP,Cyprus,1962,70.27199999999999
CZE,Czech Republic,1962,69.7868292682927
DEU,Germany,1962,69.6915365853659
DJI,Djibouti,1962,44.891999999999996
DMA,Dominica,1962,
DNK,Denmark,1962,72.319756097561
DOM,Dominican Republic,1962,52.997
DZA,Algeria,1962,47.056000000000004
EAP,East Asia & Pacific (excluding high income),1962,46.774328425552
EAR,Early-demographic dividend,1962,46.344511178694
EAS,East Asia & Pacific,1962,49.6078940879116
ECA,Europe & Central Asia (excluding high income),1962,64.259102702164
ECS,Europe & Central Asia,1962,67.47636459935251
ECU,Ecuador,1962,54.098
EGY,"Egypt, Arab Rep.",1962,49.13399999999999
EMU,Euro area,1962,69.61739226477549
ERI,Eritrea,1962,39.693000000000005
ESP,Spain,1962,69.5190243902439
EST,Estonia,1962,68.74102439024391
ETH,Ethiopia,1962,39.711
EUU,European Union,1962,69.5240305576573
FCS,Fragile and conflict affected situations,1962,41.850336780239395
FIN,Finland,1962,68.5778048780488
FJI,Fiji,1962,61.478
FRA,France,1962,70.31463414634149
FRO,Faroe Islands,1962,
FSM,"Micronesia, Fed. Sts.",1962,55.396
GAB,Gabon,1962,40.56
GBR,United Kingdom,1962,70.9268292682927
GEO,Georgia,1962,64.469
GHA,Ghana,1962,46.696000000000005
GIN,Guinea,1962,35.266
GMB,"Gambia, The",1962,32.67
GNB,Guinea-Bissau,1962,38.042
GNQ,Equatorial Guinea,1962,37.208
GRC,Greece,1962,68.8922682926829
GRD,Grenada,1962,63.06399999999999
GRL,Greenland,1962,
GTM,Guatemala,1962,47.75
GUM,Guam,1962,61.986000000000004
GUY,Guyana,1962,60.623000000000005
HIC,High income,1962,68.89846275096521
HKG,"Hong Kong SAR, China",1962,68.1059756097561
HND,Honduras,1962,47.625
HPC,Heavily indebted poor countries (HIPC),1962,40.6523147288707
HRV,Croatia,1962,65.408243902439
HTI,Haiti,1962,42.591
HUN,Hungary,1962,67.86585365853661
IBD,IBRD only,1962,49.7802953300066
IBT,IDA & IBRD total,1962,48.623359213808406
IDA,IDA total,1962,42.9559826691023
IDB,IDA blend,1962,44.963986946238
IDN,Indonesia,1962,47.876999999999995
IDX,IDA only,1962,41.9936535304177
IMN,Isle of Man,1962,
IND,India,1962,42.637
IRL,Ireland,1962,70.13407317073171
IRN,"Iran, Islamic Rep.",1962,46.068999999999996
IRQ,Iraq,1962,50.409
ISL,Iceland,1962,73.7219512195122
ISR,Israel,1962,72.1121951219512
ITA,Italy,1962,69.149756097561
JAM,Jamaica,1962,65.465
JOR,Jordan,1962,54.22
JPN,Japan,1962,68.5948780487805
KAZ,Kazakhstan,1962,59.1995609756098
KEN,Kenya,1962,48.058
KGZ,Kyrgyz Republic,1962,57.0026585365854
KHM,Cambodia,1962,41.526
KIR,Kiribati,1962,48.071000000000005
KNA,St. Kitts and Nevis,1962,
KOR,"Korea, Rep.",1962,56.5123170731707
KWT,Kuwait,1962,60.841
LAC,Latin America & Caribbean (excluding high income),1962,56.6172137407122
LAO,Lao PDR,1962,43.817
LBN,Lebanon,1962,63.871
LBR,Liberia,1962,34.911
LBY,Libya,1962,45.833
LCA,St. Lucia,1962,58.428000000000004
LCN,Latin America & Caribbean,1962,57.0018585370629
LDC,Least developed countries: UN classification,1962,41.23322670661221
LIC,Low income,1962,40.1110306953955
LIE,Liechtenstein,1962,
LKA,Sri Lanka,1962,60.177
LMC,Lower middle income,1962,46.45036919555
LMY,Low & middle income,1962,48.350779089921296
LSO,Lesotho,1962,48.383
LTE,Late-demographic dividend,1962,51.392128740154895
LTU,Lithuania,1962,69.0953658536585
LUX,Luxembourg,1962,68.9981219512195
LVA,Latvia,1962,69.430487804878
MAC,"Macao SAR, China",1962,65.757
MAF,St. Martin (French part),1962,
MAR,Morocco,1962,49.306999999999995
MDA,Moldova,1962,62.743
MDG,Madagascar,1962,40.924
MDV,Maldives,1962,38.56
MEA,Middle East & North Africa,1962,48.143019285868505
MEX,Mexico,1962,58.193000000000005
MHL,Marshall Islands,1962,
MIC,Middle income,1962,48.980203195465094
MKD,North Macedonia,1962,61.87
MLI,Mali,1962,28.535
MLT,Malta,1962,69.7706585365854
MMR,Myanmar,1962,43.567
MNA,Middle East & North Africa (excluding high income),1962,47.55821291791221
MNE,Montenegro,1962,65.181
MNG,Mongolia,1962,50.185
MOZ,Mozambique,1962,40.238
MRT,Mauritania,1962,45.833999999999996
MUS,Mauritius,1962,60.6269024390244
MWI,Malawi,1962,37.183
MYS,Malaysia,1962,61.012
NAC,North America,1962,70.2327068020475
NAM,Namibia,1962,47.957
NCL,New Caledonia,1962,59.4390243902439
NER,Niger,1962,35.223
NGA,Nigeria,1962,37.871
NIC,Nicaragua,1962,48.277
NLD,Netherlands,1962,73.32390243902441
NOR,Norway,1962,73.4480487804878
NPL,Nepal,1962,36.357
NZL,New Zealand,1962,71.2317073170732
OED,OECD members,1962,67.8268800280798
OMN,Oman,1962,44.31100000000001
OSS,Other small states,1962,52.309446737699204
PAK,Pakistan,1962,47.059
PAN,Panama,1962,61.88
PER,Peru,1962,49.224
PHL,Philippines,1962,61.86
PLW,Palau,1962,
PNG,Papua New Guinea,1962,40.167
POL,Poland,1962,67.4268292682927
PRE,Pre-demographic dividend,1962,40.0427883235536
PRI,Puerto Rico,1962,69.1454390243903
PRK,"Korea, Dem. People’s Rep.",1962,52.076
PRT,Portugal,1962,64.0952195121951
PRY,Paraguay,1962,64.314
PSE,West Bank and Gaza,1962,
PSS,Pacific island small states,1962,57.3894643840218
PST,Post-demographic dividend,1962,69.2194337446381
PYF,French Polynesia,1962,57.093
QAT,Qatar,1962,62.61
ROU,Romania,1962,67.0290731707317
RUS,Russian Federation,1962,67.0214146341464
